City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Hasaki,JP,35.7333,140.8333,61.29,67,46,5.5,scattered clouds
270,Rajmahal,IN,25.05,87.8333,86.95,67,89,11.88,overcast clouds
271,Tura,IN,25.5198,90.2201,73.45,97,73,6.22,broken clouds
272,Pacifica,US,37.6138,-122.4869,67.41,71,100,4.61,overcast clouds
273,Muscat,OM,23.6139,58.5922,94.39,33,3,7.45,clear sky
274,Majagual,CO,8.5389,-74.6204,87.73,62,98,2.33,overcast clouds
275,Biak,ID,-0.9131,122.8766,76.15,84,100,1.16,overcast clouds
276,Lipin Bor,RU,60.2622,37.9763,53.4,77,82,6.22,broken clouds
277,Vila Do Maio,CV,15.1333,-23.2167,86.79,83,16,15.01,few clouds
278,Hengyang,CN,26.8881,112.615,77.05,93,100,3.29,overcast clouds
279,Pacific Grove,US,36.6177,-121.9166,63.55,93,40,4.61,scattered clouds
280,Baghdad,IQ,33.3406,44.4009,103.91,15,99,4.61,overcast clouds
281,Banfora,BF,10.6333,-4.7667,96.58,30,9,4.88,clear sky
282,Arrecife,ES,28.963,-13.5477,76.98,53,40,20.71,scattered clouds
283,Los Mochis,MX,25.7667,-108.9667,88.65,48,0,7.92,clear sky
284,Kosino,RU,58.4127,51.2782,57.25,97,93,3.69,overcast clouds
285,Pokhara,NP,28.2333,83.9833,78.42,45,98,7.09,overcast clouds
286,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,82,75,14.97,broken clouds
287,Rio Gallegos,AR,-51.6226,-69.2181,39.38,57,47,15.19,scattered clouds
288,Buin,CL,-33.7333,-70.75,60.12,60,100,3.36,heavy intensity rain
289,Huarmey,PE,-10.0681,-78.1522,71.13,71,72,10.29,broken clouds
290,Shu,KZ,43.5983,73.7614,63.5,60,4,13.91,clear sky
291,Fort Nelson,CA,58.8053,-122.7002,65.79,42,75,6.91,broken clouds
292,Aripuana,BR,-9.1667,-60.6333,93.72,37,87,3.4,overcast clouds
293,Micco,US,27.8806,-80.5003,75.22,96,99,7.0,heavy intensity rain
294,Lorengau,PG,-2.0226,147.2712,80.29,73,65,6.26,broken clouds
295,Yazman,PK,29.1212,71.7446,96.58,11,0,10.0,clear sky
296,Chuy,UY,-33.6971,-53.4616,59.5,60,100,10.83,overcast clouds
297,Borba,BR,-4.3878,-59.5939,82.78,85,78,2.08,broken clouds
298,Viedma,AR,-40.8135,-62.9967,55.81,45,83,17.18,broken clouds
299,Port Augusta,AU,-32.5,137.7667,53.08,63,27,15.88,scattered clouds
300,La Asuncion,VE,11.0333,-63.8628,85.73,70,74,17.27,broken clouds
301,Mount Isa,AU,-20.7333,139.5,56.97,72,91,5.75,overcast clouds
302,Haines Junction,CA,60.7522,-137.5108,60.75,44,69,3.44,broken clouds
303,Mercedes,AR,-34.6515,-59.4307,60.04,59,100,9.84,overcast clouds
304,Tharad,IN,24.3961,71.6267,87.37,50,32,14.43,scattered clouds
305,Gariaband,IN,20.635,82.0614,92.77,22,92,6.22,overcast clouds
306,Mae Hong Son,TH,19.3003,97.9685,75.74,94,83,2.33,broken clouds
307,Kencong,ID,-8.2833,113.3667,76.3,89,100,2.51,overcast clouds
308,Tongchuan,CN,35.0806,109.0897,66.92,58,97,4.81,overcast clouds
309,Roald,NO,62.5833,6.1333,57.16,76,75,21.85,broken clouds
310,Kecskemet,HU,46.9062,19.6913,81.73,61,20,9.22,few clouds
311,Provideniya,RU,64.3833,-173.3,48.13,55,92,3.65,overcast clouds
312,Sabang,ID,5.8933,95.3214,83.52,75,96,12.59,overcast clouds
313,Chapais,CA,49.7834,-74.8492,56.98,52,100,3.69,overcast clouds
314,Talcahuano,CL,-36.7167,-73.1167,53.28,94,100,8.05,overcast clouds
315,Meiktila,MM,20.8667,95.8667,81.9,69,52,17.63,broken clouds
316,Tebingtinggi,ID,3.3285,99.1625,75.11,96,97,1.28,overcast clouds
317,Tilichiki,RU,60.4667,166.1,48.61,67,81,4.76,broken clouds
318,Mehamn,NO,71.0357,27.8492,48.11,95,100,12.28,overcast clouds
