City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,Eyl,7.9803,49.8164,79.74,77,69,16.87,SO,2022-05-31 23:24:47
201,Oranjemund,-28.55,16.4333,56.52,50,0,6.17,NA,2022-05-31 23:24:48
202,Souillac,-20.5167,57.5167,73.78,60,40,11.5,MU,2022-05-31 23:24:48
203,Nisia Floresta,-6.0911,-35.2086,79.18,92,16,4.99,BR,2022-05-31 23:24:48
204,Boa Vista,2.8197,-60.6733,75.18,88,100,6.91,BR,2022-05-31 23:24:48
205,Bilma,18.6853,12.9164,89.06,7,20,7.47,NE,2022-05-31 23:24:49
206,Burns Lake,54.2331,-125.7533,69.22,25,97,4.45,CA,2022-05-31 23:24:49
207,Puerto Ayacucho,5.6639,-67.6236,76.39,90,98,4.14,VE,2022-05-31 23:23:43
208,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.82,86,6,6.17,BR,2022-05-31 23:24:49
209,Touros,-5.1989,-35.4608,77.92,83,23,8.55,BR,2022-05-31 23:24:49
210,Swan Hill,-35.3378,143.5544,45.36,70,0,13.87,AU,2022-05-31 23:24:50
211,Borogontsy,62.6683,131.1683,52.79,85,100,8.77,RU,2022-05-31 23:24:50
212,Mago,53.2514,140.1822,57.0,59,100,5.37,RU,2022-05-31 23:24:50
213,Gorin,51.1983,136.6669,50.36,94,100,3.83,RU,2022-05-31 23:24:50
214,Butaritari,3.0707,172.7902,81.07,77,27,9.89,KI,2022-05-31 23:22:23
215,Briancon,44.9,6.65,53.35,92,81,3.58,FR,2022-05-31 23:24:51
216,Nioro,13.35,-15.75,81.82,54,67,9.84,GM,2022-05-31 23:24:51
217,Buenaventura,3.8801,-77.0312,76.42,93,98,4.21,CO,2022-05-31 23:24:51
218,Nabire,-3.3667,135.4833,78.04,85,89,3.94,ID,2022-05-31 23:21:58
219,Aswan,24.0934,32.907,88.23,16,20,12.21,EG,2022-05-31 23:24:51
220,Sungaipenuh,-2.0833,101.3833,61.03,95,37,2.13,ID,2022-05-31 23:24:52
221,Sinop,41.7711,34.8709,59.76,83,88,2.35,TR,2022-05-31 23:24:52
222,Lata,40.1629,-8.3327,60.73,93,76,3.22,PT,2022-05-31 23:24:52
223,Altay,47.8667,88.1167,56.26,88,100,3.49,CN,2022-05-31 23:24:52
224,Ilulissat,69.2167,-51.1,33.82,80,75,6.91,GL,2022-05-31 23:24:53
225,Sitka,57.0531,-135.33,51.69,82,100,10.36,US,2022-05-31 23:24:53
226,Maturin,9.75,-63.1767,80.17,61,100,8.97,VE,2022-05-31 23:25:53
227,Tuatapere,-46.1333,167.6833,54.79,78,100,4.97,NZ,2022-05-31 23:25:53
228,Puerto Ayora,-0.7393,-90.3518,73.38,85,85,10.36,EC,2022-05-31 23:23:44
229,Uyuni,-20.4597,-66.825,39.52,28,39,25.23,BO,2022-05-31 23:25:54
230,Banamba,13.55,-7.45,86.99,43,89,21.63,ML,2022-05-31 23:25:54
231,Bengkulu,-3.8004,102.2655,74.57,91,100,4.9,ID,2022-05-31 23:25:54
232,Sao Filipe,14.8961,-24.4956,75.92,76,10,12.19,CV,2022-05-31 23:25:55
233,Khatanga,71.9667,102.5,37.27,72,100,9.1,RU,2022-05-31 23:25:55
234,Dossor,47.5272,52.9811,71.74,33,3,12.33,KZ,2022-05-31 23:25:55
235,Araouane,18.9048,-3.5265,94.39,20,99,7.83,ML,2022-05-31 23:25:55
236,Port Lincoln,-34.7333,135.8667,54.54,62,99,9.04,AU,2022-05-31 23:25:55
